Date,Campaign ID,Campaign Name,Send Date,Send Time,Total Recipients,Open Rate,Click Rate,Unsubscribe Rate,Spam Complaints Rate,Total Opens,Unique Opens,Total Clicks,Unique Clicks,Total Unsubscribes,Bounces,Bounce Rate,Tags,Subject,Preview Text,List,Excluded List,Day of Week,Campaign Channel
N/A,01H5M9F2E78P9YY6HF66NRDM1J,20230720_EDM_MAA FFW_LINEA DF_Start from 299K_EB,2023-07-20,04:00 PM,560,0.3100358422939068,0.02867383512544803,0.0017921146953405018,0.0,213,173,28,16,1,2,0.0035714285714285713,EB,STACCATO - The Best Deal won't Last Long ⏳,Start from Rp299.000 and apply code JULY15MP to get extra 15%,20230720_EDM_MAA FFW_LINEA DF_Start from 299K_EB List,,Thursday,Email
N/A,01H5S526ZT20TH3RBBV49CTD10,20230720_EDM_MAA FFW_LINEA DF_Start from 299K_NB,2023-07-20,04:00 PM,212381,0.28742840336385794,0.003090681594991102,0.0017297846991321166,0.0005483467345951954,71714,57659,964,620,362,11778,0.05545693823835465,NB,STACCATO - The Best Deal won't Last Long ⏳,Start from Rp299.000 and apply code JULY15MP to get extra 15%,20230720_EDM_MAA FFW_LINEA DF_Start from 299K_NB List,20230720_EDM_MAA FFW_LINEA DF_Start from 299K_EB List,Thursday,Email
N/A,01H5449700XRRYFHE8YK089WZ8,20230713_EDM_MAA FFW_LINEA DF_Birkenstock EVA_EB,2023-07-13,05:00 PM,596,0.30016863406408095,0.016863406408094434,0.006745362563237774,0.0,226,178,15,10,4,3,0.0050335570469798654,EB,Birkenstock - Best Seller Timeless Sandals,Sandals with water-resistant outsole and skin-friendly,20230713_EDM_MAA FFW_LINEA DF_Birkenstock EVA_EB List,,Thursday,Email
N/A,01H54S27QGTQ1PX7ZTJZ3EP7QD,20230713_EDM_MAA FFW_LINEA DF_Birkenstock EVA_NB,2023-07-13,05:00 PM,117951,0.47122835101582056,0.003235639720032016,0.0026140563001311287,0.00017029682737010609,68608,55342,538,380,317,509,0.004315351289942434,NB,Birkenstock - Best Seller Timeless Sandals,Sandals with water-resistant outsole and skin-friendly,20230713_EDM_MAA FFW_LINEA DF_Birkenstock EVA_NB List,20230713_EDM_MAA FFW_LINEA DF_Birkenstock EVA_EB List,Thursday,Email
N/A,01H4N7DQWRXGMC8QZM8JRMRZXR,20230707_EDM_MAA FFW_LINEA DF_7.7 Deals_EB,2023-07-07,03:30 PM,608,0.32894736842105265,0.023026315789473683,0.0,0.0,238,200,19,14,0,0,0.0,EB,Unlock Incredible 7.7 Deals Today! ✨,Special Price Rp777.777 and many offers inside,20230707_EDM_MAA FFW_LINEA DF_7.7 Deals_EB List,,Friday,Email
N/A,01H4Q2VAJE9JJ69C7S6Q2YF45A,20230707_EDM_MAA FFW_LINEA DF_7.7 Deals_NB,2023-07-07,03:30 PM,126946,0.45800195670011995,0.0020829388373414127,0.0020592690778261694,0.00019724799596036104,71519,58049,364,264,272,202,0.0015912277661367827,NB,Unlock Incredible 7.7 Deals Today! ✨,Special Price Rp777.777 and many offers inside,20230707_EDM_MAA FFW_LINEA DF_7.7 Deals_NB List,20230707_EDM_MAA FFW_LINEA DF_7.7 Deals_EB List,Friday,Email
N/A,01H4DA2GMSFM8673TRNHWZ7H1B,20230705_EDM_MAA FFW_LINEA DF_Cash Rebate 777K_EB,2023-07-05,04:00 PM,315,0.2761904761904762,0.0031746031746031746,0.0,0.0,117,87,1,1,0,0,0.0,EB,Get Inspiration to Shop for Celebrity Shoes,"Rebate up to Rp777,000 and additional Voucher Rp77,000",20230705_EDM_MAA FFW_LINEA DF_Cash Rebate 777K_EB List,,Wednesday,Email
N/A,01H4G2H31QKQ3XHWRWYR2GEQND,20230705_EDM_MAA FFW_LINEA DF_Cash Rebate 777K_NB,2023-07-05,04:00 PM,79253,0.6091254560834269,0.0018811468683323444,0.002020023482772987,0.0002903783756486169,60046,48247,216,149,163,46,0.0005804196686560761,NB,Get Inspiration to Shop for Celebrity Shoes,"Rebate up to Rp777,000 and additional Voucher Rp77,000",20230705_EDM_MAA FFW_LINEA DF_Cash Rebate 777K_NB List,20230705_EDM_MAA FFW_LINEA DF_Cash Rebate 777K_EB List,Wednesday,Email
N/A,01H3XAD03143WDY4DB1M0WAFKS,20230629_EDM_MAA FFW_LINEA DF_Last Chance_EB,2023-06-29,01:00 PM,599,0.3105175292153589,0.018363939899833055,0.0,0.0,232,186,19,11,0,0,0.0,EB,Last Chance! Add a Special Twist to Your Fashion,Get up to 70% OFF on selected items,20230629_EDM_MAA FFW_LINEA DF_Last Chance_EB List,,Thursday,Email
N/A,01H40KH2FBH8WK1EXGZ0HVYQQV,20230629_EDM_MAA FFW_LINEA DF_Last Chance_NB,2023-06-29,01:00 PM,115550,0.5690367508856418,0.0022606601820654294,0.001688998986600608,0.00016456913202775154,81122,65697,396,261,200,97,0.000839463435742103,NB,Last Chance! Add a Special Twist to Your Fashion,Get up to 70% OFF on selected items,20230629_EDM_MAA FFW_LINEA DF_Last Chance_NB List,20230629_EDM_MAA FFW_LINEA DF_Last Chance_EB List,Thursday,Email
N/A,01H3TR3QY5E7HJW41XKY80N8PH,20230626_EDM_MAA FFW_LINEA DF_Payday Deals_EB,2023-06-26,04:00 PM,605,0.3851239669421488,0.02809917355371901,0.003305785123966942,0.0,301,233,24,17,2,0,0.0,EB,It's Payday! It's Time to Shop!,Rebate up to Rp600.000 + 25% OFF,20230626_EDM_MAA FFW_LINEA DF_Payday Deals_EB List,,Monday,Email
N/A,01H3VCMXH198ZWKAEA74543D85,20230626_EDM_MAA FFW_LINEA DF_Payday Deals_NB,2023-06-26,04:00 PM,111088,0.6928418947766639,0.0022067897064519323,0.0021617531818304645,0.00016213148863728483,94395,76920,397,245,252,67,0.0006031254500936194,NB,It's Payday! It's Time to Shop!,Rebate up to Rp600.000 + 25% OFF,20230626_EDM_MAA FFW_LINEA DF_Payday Deals_NB List,20230626_EDM_MAA FFW_LINEA DF_Payday Deals_EB List,Monday,Email
N/A,01H3GY8V4DQYSC9Q6GBXJVMAFV,20230623_EDM_MAA FFW_LINEA DF_Dr. Martens first voucher_EB,2023-06-23,03:00 PM,171,0.5146198830409356,0.005847953216374269,0.005847953216374269,0.0,107,88,2,1,1,0,0.0,EB,Get Ready for Payday!,Cashback Rp200.000 for Dr. Martens Collection,20230623_EDM_MAA FFW_LINEA DF_Dr. Martens first voucher_EB List,,Friday,Email
N/A,01H3KFKDAQPB5PCD4C20SYBC4Q,20230623_EDM_MAA FFW_LINEA DF_Dr. Martens first voucher_NB,2023-06-23,03:00 PM,118888,0.6255853913277855,0.0011370910683602305,0.0017772312253630268,0.00020214952326404098,90110,74272,232,135,220,164,0.0013794495659780633,NB,Get Ready for Payday!,Cashback Rp200.000 for Dr. Martens Collection,20230623_EDM_MAA FFW_LINEA DF_Dr. Martens first voucher_NB List,20230623_EDM_MAA FFW_LINEA DF_Dr. Martens first voucher_EB List,Friday,Email
N/A,01H31666SGH81T6J4AXPXM61BV,20230620_EDM_MAA FFW_LINEA DF_Flat Collections_EB,2023-06-20,01:00 PM,617,0.3338735818476499,0.017828200972447326,0.0032414910858995136,0.0,271,206,14,11,2,0,0.0,EB,Stay Cool and Chic with Flat Collections,Get rebate up to Rp600.000 and extra 20% OFF special for you!,20230620_EDM_MAA FFW_LINEA DF_Flat Collections_EB List,,Tuesday,Email
N/A,01H3BEPJATJTSHSH1HH98TFQFR,20230620_EDM_MAA FFW_LINEA DF_Flat Collections_NB,2023-06-20,01:00 PM,113386,0.6018048057584419,0.001905366783105748,0.0015172365124730956,0.0002822765604601108,84882,68223,321,216,179,22,0.0001940274813469035,NB,Stay Cool and Chic with Flat Collections,Get rebate up to Rp600.000 and extra 20% OFF special for you!,20230620_EDM_MAA FFW_LINEA DF_Flat Collections_NB List,20230620_EDM_MAA FFW_LINEA DF_Flat Collections_EB List,Tuesday,Email
N/A,01H2YJ7Q67KSDWY32JFMFZS6D6,20230616_EDM_MAA FFW_LINEA DF_Hispanitas highlight_EB,2023-06-16,01:00 PM,724,0.39280774550484093,0.015214384508990318,0.0013831258644536654,0.0,349,284,13,11,2,1,0.0013812154696132596,EB,Step into the World of Hispanitas: Discover the Essence of Spanish Elegance,Your Ultimate Style Companion. Get it Now!,20230616_EDM_MAA FFW_LINEA DF_Hispanitas highlight_EB List,,Friday,Email
